계정대분류,계정중분류,G/L 계정,G/L 계정 설명,202501,202502,202503,202504,202505,202506,202507,202508,202509
지급수수료,지급수수료,55210143,지급수수료_공사비,4575500,4105000,4963000,39864000,805000,11102000,0,0,0
지급수수료,지급수수료,55210145,지급수수료_사내행사,42365400,0,2182,18262500,2250000,0,0,0,0
지급수수료,지급수수료,55210149,지급수수료_온라인위탁판매수수료,0,0,0,0,0,0,0,0,0
지급수수료,지급수수료,55210157,지급수수료_퀵서비스,4739000,4562000,5010000,5182000,3502000,5708000,6670000,7012000,12290000
지급수수료,지급수수료,55210161,지급수수료_보안,2398000,2798000,2398000,2398000,3478200,2189000,2189000,2189000,9779000
지급수수료,지급수수료,55210163,지급수수료_리스료(차량),1478700,1478700,1478700,1478700,1478700,1478700,1478700,1478700,1478700
지급수수료,지급수수료,55210165,지급수수료_렌탈료(차량),18161000,18284750,18326000,19149200,17423571,16325000,15966601,15995000,14345001
지급수수료,지급수수료,55210167,지급수수료_리스료(차량제외),0,0,0,0,88000,0,0,0,0
지급수수료,지급수수료,55210169,지급수수료_렌탈료(차량제외),4248598,4248598,4248598,4437521,5343445,2741903,6063852,2959199,3140326
지급수수료,지급수수료,55210171,지급수수료_수출입관련,0,0,0,0,8340,0,0,0,0
지급수수료,지급수수료,55210173,지급수수료_기타,45454570,31987757,140262679,221000461,22772661,44117418,335522891,36497360,28461449
지급수수료,지급수수료,55210179,지급수수료_지급용역비,274899337,285360639,345339298,310992544,290407489,286598073,281477180,314971413,288119034
지급수수료,지급수수료,55210181,지급수수료_이체수수료,2023702,2292196,2670727,1645959,2185361,1585578,1611650,1698492,2408308
직원경비,복리후생(안전보건),55110149,소모품비_안전보건용품,275000,0,0,1900000,0,0,34000,67960,27300
직원경비,복리후생비,55010101,복리후생비_직원식대,12487305,15730702,13955685,44374336,45251403,43835172,63513970,44444500,52726200
직원경비,복리후생비,55010103,복리후생비_경조사비,2519681,4899693,2959673,4699683,2969680,2799711,2649698,3079697,3349704
직원경비,복리후생비,55010109,복리후생비_회식대,6653027,10074494,13817232,8233092,11555603,12605142,10788378,9852856,9258643
직원경비,복리후생비,55010111,복리후생비_회의비,9782125,11539431,15486960,17905505,10180175,8960189,8409439,6591991,15267277
직원경비,복리후생비,55010113,복리후생비_워크샵,0,804817,0,0,0,0,0,0,69091
직원경비,복리후생비,55010115,복리후생비_MRO,5515940,7282252,9288805,12107245,14897669,1404433,4602652,5043501,5406573
직원경비,복리후생비,55010117,복리후생비_사내행사,0,0,0,0,0,0,0,112189096,63589040
직원경비,복리후생비,55010119,복리후생비_부서,12227598,14256645,16476337,14992695,11978892,10859463,23954031,13975711,14003222
직원경비,복리후생비,55010121,복리후생비_기타,46594564,57124306,56104588,24482282,790909,398182,687273,831681,321818
직원경비,복리후생비,55010125,복리후생비_총무지원,43493675,16412676,14650602,18485556,30362363,12537586,25799123,12837010,21130749
직원경비,복리후생비,55010127,복리후생비_직원구매,22437310,19723230,18794720,9722910,39252960,25711800,0,0,13110990
직원경비,복리후생비,55010137,복리후생비_위탁보육료,0,2488000,2726000,2364500,2701500,2504500,2462000,3355500,3433750
직원경비,복리후생비,55010141,복리후생비_근속지원,0,0,0,0,0,0,0,317000,6363000
직원경비,복리후생비(안전보건),55010131,복리후생비_기타지원,0,0,0,0,0,100200,228980,0,0
직원경비,복리후생비(안전보건),55010133,복리후생비_건강관리,189818,0,262758,0,0,0,173364,600364,0
직원경비,복리후생비(안전보건),55010135,복리후생비_건강검진,189600000,0,0,0,0,0,0,0,0
직원경비,복리후생비(안전보건),55210193,지급수수료_안전보건교육,3725000,0,0,0,0,1138000,2198000,840000,181818
직원경비,복리후생비(안전보건),55210195,지급수수료_안전보건진단,500000,0,0,2897900,0,600000,0,0,0
직원경비,여비교통비,55030101,여비교통비_국내출장비,4190995,3699074,6552958,3424468,3496685,4644926,1719742,3245245,1825604
직원경비,여비교통비,55030103,여비교통비_해외출장비,20194530,40263558,29218002,21306871,26361369,33890292,16673195,9136996,20287259
직원경비,여비교통비,55030105,여비교통비_시내교통비,9316993,9616350,13376990,8979503,6104180,5455502,10075747,9194730,12219503
직원경비,차량유지비,55050101,차량유지비_차량보조,16499025,18079013,18261381,18466733,19271694,17447406,16594726,16480778,17369100
직원경비,차량유지비,55050103,차량유지비_차량유지,2320000,30119055,2272180,29098371,7713000,6367000,5626000,7628000,7740000
직원경비,차량유지비,55050105,차량유지비_주차비,90000,100150,419650,126900,109500,79500,41000,37400,114800
직원경비,통신비,55070105,통신비_휴대폰지원,9962600,10283350,10652700,10554630,9905430,9667110,10207250,9766090,9877280
