계정대분류,계정중분류,G/L 계정,G/L 계정 설명,코스트 센터,코스트센터명,202601
기타비용,보험료,55330111,보험료_차량보험료,F00300,공통_총무,1057157.0
기타비용,보험료,55330113,보험료_기타,F00300,공통_총무,3770826.0
기타비용,세금과공과,55130113,세금과공과_장애인고용부담금,F00500,공통_HR팀,268127990.0
기타비용,수도광열비,55090101,수도광열비,F00000,공통_공통,100292461.0
기타비용,수선비,55350101,수선비_기타,F00000,공통_공통,-1054000.0
기타비용,접대비,55190101,접대비_경조사비,F00300,공통_총무,3200000.0
기타비용,접대비,55190101,접대비_경조사비,F05100,공통_마케팅본부,300000.0
기타비용,접대비,55190105,접대비_일반,F00100,공통_임원,5524580.0
기타비용,접대비,55190105,접대비_일반,F00700,공통_회계팀,27500.0
기타비용,지급임차료,55230105,지급임차료_창고,F03700,공통_통합인테리어팀,1000000.0
기타비용,지급임차료,55230121,지급임차료_관리비,F00300,공통_총무,665662.0
기타비용,통신비,55070101,통신비_전화사용료,F00100,공통_임원,538500.0
기타비용,통신비,55070101,통신비_전화사용료,F00300,공통_총무,402648.0
기타비용,통신비,55070101,통신비_전화사용료,F01200,공통_e-BIZ팀,4929011.0
기타비용,통신비,55070101,통신비_전화사용료,F01300,공통_IT팀,25227.0
기타비용,통신비,55070101,통신비_전화사용료,F02900,공통_AX팀,96000.0
기타비용,통신비,55070101,통신비_전화사용료,F05100,공통_마케팅본부,42728.0
기타비용,통신비,55070103,통신비_우편료,F00300,공통_총무,18930.0
기타비용,통신비,55070103,통신비_우편료,F00400,공통_법무팀,4040.0
기타비용,통신비,55070103,통신비_우편료,F00500,공통_HR팀,17310.0
기타비용,통신비,55070103,통신비_우편료,F00700,공통_회계팀,4040.0
기타비용,통신비,55070103,통신비_우편료,F00800,공통_경영관리팀,94266.0
기타비용,통신비,55070103,통신비_우편료,F02500,공통_자금팀,4160.0
기타비용,통신비,55070107,통신비_해외로밍,F04500,공통_통합소싱팀,79530.0
기타비용,통신비,55070107,통신비_해외로밍,F04800,공통_해외사업팀,105600.0
기타비용,통신비,55070109,통신비_IDC,F02600,공통_정보보안팀,3400000.0
기타비용,통신비,55070111,통신비_비즈크로샷,F00300,공통_총무,715878.0
기타비용,통신비,55070117,통신비_기타,F00100,공통_임원,8900.0
기타비용,통신비,55070117,통신비_기타,F02600,공통_정보보안팀,2953000.0
기타비용,통신비,55070119,통신비_CRM,F03900,공통_퍼포먼스마케팅팀,16809985.0
소모품비,소모품비,55110101,소모품비_사무용품,F00100,공통_임원,1075758.0
소모품비,소모품비,55110101,소모품비_사무용품,F00300,공통_총무,870560.0
소모품비,소모품비,55110101,소모품비_사무용품,F01800,공통_소비자전략팀,638181.0
소모품비,소모품비,55110101,소모품비_사무용품,F05100,공통_마케팅본부,4818.0
소모품비,소모품비,55110105,소모품비_샘플대,F00600,공통_공간기획팀,1514636.0
소모품비,소모품비,55110105,소모품비_샘플대,F01300,공통_IT팀,910.0
소모품비,소모품비,55110105,소모품비_샘플대,F04800,공통_해외사업팀,725465.0
소모품비,소모품비,55110117,소모품비_전산소모품,F00000,공통_공통,2913066.0
소모품비,소모품비,55110117,소모품비_전산소모품,F00300,공통_총무,671000.0
소모품비,소모품비,55110117,소모품비_전산소모품,F01300,공통_IT팀,4185765.0
소모품비,소모품비,55110117,소모품비_전산소모품,F02600,공통_정보보안팀,783000.0
소모품비,소모품비,55110117,소모품비_전산소모품,F05100,공통_마케팅본부,465490.0
소모품비,소모품비,55110121,소모품비_MRO(사무용품),F00000,공통_공통,1347220.0
소모품비,소모품비,55110123,소모품비_MRO(전산소모품),F00000,공통_공통,1625950.0
소모품비,소모품비,55110131,소모품비_부서,F00000,공통_공통,2493000.0
소모품비,소모품비,55110131,소모품비_부서,F00300,공통_총무,6734744.0
소모품비,소모품비,55110131,소모품비_부서,F01200,공통_e-BIZ팀,254500.0
소모품비,소모품비,55110131,소모품비_부서,F01300,공통_IT팀,20500.0
소모품비,소모품비,55110131,소모품비_부서,F05100,공통_마케팅본부,37900.0
소모품비,소모품비,55110133,소모품비_기타,F00800,공통_경영관리팀,111600.0
소모품비,소모품비,55110133,소모품비_기타,F02300,공통_안전보건팀,787000.0
인건비,인건비,53010101,급료와임금,F00200,공통_경영개선팀,22931614.0
인건비,인건비,53010101,급료와임금,F00300,공통_총무,47042745.0
인건비,인건비,53010101,급료와임금,F00400,공통_법무팀,39414272.0
인건비,인건비,53010101,급료와임금,F00500,공통_HR팀,62256730.0
인건비,인건비,53010101,급료와임금,F00600,공통_공간기획팀,31751140.0
인건비,인건비,53010101,급료와임금,F00700,공통_회계팀,51529517.0
인건비,인건비,53010101,급료와임금,F00800,공통_경영관리팀,61177599.0
인건비,인건비,53010101,급료와임금,F01200,공통_e-BIZ팀,52905780.0
인건비,인건비,53010101,급료와임금,F01300,공통_IT팀,275239138.0
인건비,인건비,53010101,급료와임금,F01800,공통_소비자전략팀,12452137.0
인건비,인건비,53010101,급료와임금,F02300,공통_안전보건팀,7985391.0
인건비,인건비,53010101,급료와임금,F02400,공통_경영기획팀,23797186.0
인건비,인건비,53010101,급료와임금,F02500,공통_자금팀,40397299.0
인건비,인건비,53010101,급료와임금,F02600,공통_정보보안팀,26974759.0
